Title-and-Abstract-Based-screening,Inclusion/esclusion-criteria-screening (yes: include no: esclude),Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
,,Smart City IoT On-Demand Monitoring System Using a Drone Fleet,Future Access Enablers for Ubiquitous and Intelligent Infrastructures,,,,10.1007/978-3-031-15101-9_8,Gordana JotanovicVladimir BrtkaJelena StojanovZeljko StojanovGoran JausevacDalibor Dobrilovic,2022,http://link.springer.com/chapter/10.1007/978-3-031-15101-9_8,Chapter
,,Experimentation Scenarios for Machine Learning-Based Resource Management,Artificial Intelligence Applications and Innovations. AIAI 2022 IFIP WG 12.5 International Workshops,,,,10.1007/978-3-031-08341-9_11,Alexandros KostopoulosIoannis P. ChochliourosJohn VardakasMiquel PayaróSergio BarrachinaMd Arifur RahmanEvgenii VinogradovPhilippe ChanclouRoberto GonzalezCharalambos KlitisSabrina De Capitani di VimercatiPolyzois SoumplisEmmanuel VarvarigosDimitrios KritharidisKostas Chartsias,2022,http://link.springer.com/chapter/10.1007/978-3-031-08341-9_11,Chapter
,,Characterization of the Spatiotemporal Behavior of a Sweeping System Using Supervised Machine Learning Enhanced with Feature Engineering,Collaborative Networks in Digitalization and Society 5.0,,,,10.1007/978-3-031-14844-6_20,Bechir Ben DayaJean-François AudyAmina Lamghari,2022,http://link.springer.com/chapter/10.1007/978-3-031-14844-6_20,Chapter
,,A Machine Learning Approach for Detecting Traffic Incidents from Video Cameras,Smart Cities,,,,10.1007/978-3-030-96753-6_12,Guillermo GabrielliIgnacio FerreiraPablo DalchieleAndrei TchernykhSergio Nesmachnow,2022,http://link.springer.com/chapter/10.1007/978-3-030-96753-6_12,Chapter
,,Artificial Intelligence Empowered Internet of Things for Smart City Management,Emerging Technologies in Computer Engineering: Cognitive Computing and Intelligent IoT,,,,10.1007/978-3-031-07012-9_18,Abinash RathE. KannapiranMohammad Salameh AlmahirahAshim BoraShanjida Chowdhury,2022,http://link.springer.com/chapter/10.1007/978-3-031-07012-9_18,Chapter
,,A Preliminary Survey on Smart Specialization Platforms: Evaluation of European Best Practices,Computational Science and Its Applications – ICCSA 2022 Workshops,,,,10.1007/978-3-031-10592-0_7,Simone ChiordiGiulia DesogusChiara GarauPaolo NesiPaola Zamperlin,2022,http://link.springer.com/chapter/10.1007/978-3-031-10592-0_7,Chapter
,,A Covid-19 Vaccination Tracking and Control Platform in Santiago de Cali,Smart Cities,,,,10.1007/978-3-030-96753-6_13,Andres Felipe FuentesDiego Fernando BoteroCristhian Torres Ramirez,2022,http://link.springer.com/chapter/10.1007/978-3-030-96753-6_13,Chapter
,,Sustainable and Social Energy on Smart Cities: Systematic Review,"Advanced Research in Technologies, Information, Innovation and Sustainability",,,,10.1007/978-3-031-20316-9_6,Regina SousaDiogo LopesAntónio SilvaDalila DurãesHugo PeixotoJosé MachadoPaulo Novais,2022,http://link.springer.com/chapter/10.1007/978-3-031-20316-9_6,Chapter
,,The Role of a Data Marketplace for Innovation and Value-Added Services in Smart and Sustainable Cities,Innovations for Community Services,,,,10.1007/978-3-031-06668-9_16,Rebekka AlvsvågAnthony Bokolo Jr.Sobah Abbas Petersen,2022,http://link.springer.com/chapter/10.1007/978-3-031-06668-9_16,Chapter
,,Stakeholder’s Perspective of Digital Technologies and Platforms Towards Smart Campus Transition: Challenges and Prospects,Informatics and Intelligent Applications,,,,10.1007/978-3-030-95630-1_14,Israel Edem AgbehadjiRichard C. MillhamBankole Osita AwuzieAlfred Beati Ngowi,2022,http://link.springer.com/chapter/10.1007/978-3-030-95630-1_14,Chapter
,,Ten Years of DataMod: The Synergy of Data-Driven and Model-Based Approaches,From Data to Models and Back,,,,10.1007/978-3-031-16011-0_2,Antonio Cerone,2022,http://link.springer.com/chapter/10.1007/978-3-031-16011-0_2,Chapter
